,,▲,コンビニ（販売促進担当）,販売量の動き,・量販店の売上が前年比106.3％、リニューアルしたスーパーは同100.8％、コンビニは同100％程度で推移している。今月に関しては販促計画がなければ、前年割れである。,,
,,▲,家電量販店（店員）,競争相手の様子,・客の買い控えが見受けられ、来客数が減少している。競合他社の状況も全く同じである。,,
,,▲,高級レストラン（経営者）,競争相手の様子,・今月は３連休が２度あったが、近くの割烹旅館の宿泊はほとんどなかったようである。月半ばからタクシー代の値上げがあり、郊外にある当店の売上の減少につながっている。,,
,,▲,スナック（経営者）,お客様の様子,・以前に比べて客は消費に対してシビアになっており、厳しい。,,
,,▲,都市型ホテル（スタッフ）,来客数の動き,・８月の反動により、来客数が減少している。,,
,,▲,都市型ホテル（副支配人）,販売量の動き,・団体の大会物等はあるが、個人客の動きが悪くなっている。,,
,,▲,タクシー運転手,お客様の様子,・９月に入っても、客の動きは夏のままである。衣料品店には既に夏物がないが、秋物はほとんど売れておらず、買物に出る客自体が減っている。,,
,,▲,競馬場（職員）,販売量の動き,・来客数、客単価の下落傾向が止まらない。,,
,,▲,美容室（店長）,来客数の動き,・猛暑のため、来客数が減少している。,,
,,×,商店街（代表者）,販売量の動き,・猛暑で人の動きが悪く、夏物の動きも秋物の動きも悪い。客の購買意欲も全く感じられない。,,
,,×,百貨店（売場主任）,来客数の動き,・今月は気温が高く、秋物が全く動かない。特に20日以降の気温が前年より５度高く、非常に悪い。,,
,,×,スーパー（店長）,来客数の動き,・来客数が前年比92％程度で推移している。また、競合店の出店もあり、競争はますます激化している。,,
,,×,衣料品専門店,来客数の動き,・例年に比べ非常に暑く、客足が鈍い。また商店街の中で工事中の店やシャッターが閉まっている店が増えており、絶対的な来客数が減っている。,,
,,×,衣料品専門店（経営者）,単価の動き,・真夏のような暑さにより、来客数が減少しており、景気は悪い。,,
,,×,衣料品専門店（店長）,来客数の動き,・長引く猛暑により来客数は減少し、秋物の動きが鈍い。,,
,,×,衣料品専門店（店長）,来客数の動き,・９月に入っても衰えない猛暑により、客足は途絶え、開店休業状態である。,,
,,×,高級レストラン（経営者）,来客数の動き,・来客数が伸び悩んでいる。販促のため各企業に挨拶回りに行ったが、シビアな状況である。,,
,,×,一般レストラン（スタッフ）,来客数の動き,・平日の夜の客が極端に減っている。,,
,,×,その他飲食［居酒屋］（店長）,来客数の動き,・例年になく暑さが厳しいため、客が少ない。当店を２次会、３次会で利用する客が多く、売上が半減し、苦しい月である。,,
,,×,タクシー運転手,来客数の動き,・とにかく人が動かない。乗車率も悪く、売上も前年比２～３割程度落ちている。,,
"企業
動向
関連

(九州)",,◎,－,－,－,,
,,○,金融業（調査担当）,取引先の様子,・取引先の様子をみると、製造業者を中心に設備投資意欲が旺盛である。,,
,,□,農林水産業（経営者）,受注量や販売量の動き,・長引く猛暑も手伝って、ビール消費に伴う焼き鳥関連の消費が伸びている。スーパー等においても、宮崎効果続いており、一部の加工品は前年の倍以上の出荷である。,,
,,□,食料品製造業（経営者）,受注量や販売量の動き,・季節商材の動きは良いが、原材料等の価格上昇により厳しい。,,
,,□,繊維工業（営業担当）,受注量や販売量の動き,・中国での生産が難しくなっており、当社の受注が安定しつつある。,,
,,□,電気機械器具製造業（経営者）,取引先の様子,・リードフレーム、コネクター等の電子部品関連は全般的にかなり忙しい。精密機械部品関連も動きは良い。,,
,,□,建設業（総務担当）,受注価格や販売価格の動き,・工事の見積依頼は数件あるが、予算が少ないため、少々の赤字を覚悟しないと受注できない。,,
,,□,輸送業（従業員）,受注量や販売量の動き,・例年月末にかなり動いているが、今月は月初めから月末まで動きが悪く、２、３か月前とあまり変わらない。,,
