,,□,その他小売の動向を把握できる者［ショッピングセンター］（支配人）,販売量の動き,・ショッピングセンターにおいて年間最大の繁忙期である年末年始の売上は、ほぼ前年と同水準である。来館客数は前年を大きく上回っているが、物販系のテナントは不調が続いており、楽観視できない。特にファッション業種は、暖冬の影響で単価の高いアウターが売れず厳しい状況が続いてる。一方、モノを売らない業種は継続して好調に推移している。,
,,□,高級レストラン（経営者）,来客数の動き,・１月は、新年会よりも少人数の接待が多い。まとまった人数の新年会が増えると売上が良い月になっていたが、売上が伸びない月になっている。,
,,□,都市型ホテル（販売担当）,お客様の様子,・賀詞交換会等において、１件当たりの平均参加者数が前年を超えている。,
,,□,旅行代理店（従業員）,販売量の動き,・２月までの動きが鈍化している。海外旅行はゴールデンウィーク10連休の問合せが主流となっており、国内では近畿のテーマパーク向けの予約が伸び悩んでいる。,
,,□,旅行代理店（企画）,販売量の動き,・客の動向では、変化がない。,
,,□,タクシー運転手,来客数の動き,・売上は、ほぼ横ばいである。新年会等の縮小傾向が見られ、週末以外の平日では、夜の繁華街は人出がやや減少している。,
,,□,タクシー運転手,お客様の様子,・今月は特に昼のタクシーの動きが悪いが、夜には人の動きが多くなり、タクシー需要が若干増えている。,
,,□,タクシー運転手,お客様の様子,・客との会話で、不安を感じている人が多い。,
,,□,通信会社（業務担当）,単価の動き,・代理店手数料が３か月先まで据置きになっているため変わらない。,
,,□,通信会社（営業担当）,それ以外,・新年を迎え、消費が一旦落ち着いている。,
,,□,ゴルフ場（従業員）,単価の動き,・天候にも恵まれて、予約自体は堅調に推移している。入場者は前年を上回っているが、客単価が伸び悩んでいる。平日入場者の増加も一因ではあるが、今後の動向に期待したい。,
,,□,その他サービスの動向を把握できる者［介護サービス］（管理担当）,単価の動き,・介護報酬自体の大幅アップは見込めず、また単価が安い軽度者の客が増加している。,
,,□,設計事務所（所長）,それ以外,・消費税率引上げ前の住宅の建設がみられるが、材料費や人件費が上昇傾向である。,
,,□,設計事務所（代表）,来客数の動き,・来店客数は特に変化がない。,
,,□,住宅販売会社（従業員）,お客様の様子,・年末年始の来場者数は少ない。以前から交渉してきた客が成約に至りかける状況ではあるが、慎重に購入を考えている客が多い。所得の伸びが問題である。,
,,□,住宅販売会社（代表）,単価の動き,・来客数の動きも１～２年前と比較すると１～２割程度減少しており、それに伴い売上も１～２割減少している。全体的に消費税の引上げということも関係しており、コストを抑えていく状態になっている。,
,,▲,商店街（代表者）,お客様の様子,・当市では、12～１月の天候が例年に比べ暖かく雨が少ないため、野菜の価格が下がらない。食料品店では、おでんや鍋物の時期であるが、材料が天候の影響を受け売れていない。,
,,▲,商店街（代表者）,お客様の様子,・暖冬により冬物商材、特に防寒用品の販売が年末から不振で、今月も売上の上昇は見込めない。,
,,▲,商店街（代表者）,お客様の様子,・目的以外の買い回りが見られない。,
,,▲,商店街（代表者）,販売量の動き,・街の通行量は減っていないものの、各店の売上は芳しくない。冬季であるにもかかわらず、婦人服の店舗では、暖冬で冬物の売行きが悪い。,
,,▲,商店街（代表者）,来客数の動き,・年度が替わっていく中で、好材料もあるが、政治経済面ではマイナス傾向である。地方では、最近必要なときに必要な物を購入することが多くなっており、小売店は今後も厳しい状況が続く。,
